nomccpp,latitud,longitud,village
AA HH AVIACION,-8.382671356201172,-74.5705337524414,73
AA HH BARRIO  LINDO,-13.10361099243164,-70.36853790283203,74
AA HH BARRIO LINDO,-13.10361099243164,-70.36853790283203,75
AA HH BARRIO LINDO,-12.599438667297363,-69.1919174194336,76
AA HH BARRIO NUEVO,-12.606260299682617,-69.18902587890625,77
AA HH BEATRIZ BARDALES DE TUBINO,-8.377556800842285,-74.56562042236328,78
AA HH BELEN,-8.131998062133789,-79.0250015258789,79
AA HH BELLAVISTA,-8.394360542297363,-74.53143310546875,80
AA HH BELLO HORIZONTE,-8.089444160461426,-79.1107406616211,81
AA HH BELLO HORIZONTE,-8.363226890563965,-74.58846282958984,82
AA HH BELLO HORIZONTE,-13.098077774047852,-70.36531829833984,83
AA HH BUENOS AIRES,-5.21823263168335,-80.6537857055664,84
AA HH BUENOS AIRES,-11.826714515686035,-77.098419189453125,85
AA HH BUENOS AIRES,-8.370691299438477,-74.5748062133789,86
AA HH BUENOS AIRES PERU,-11.826714515686035,-77.098419189453125,87
AA HH CALIXTO BALAREZO,-5.217409610748291,-80.620147705078125,88
AA HH CAMINEROS,-12.585970878601074,-69.1996078491211,89
AA HH CAMPO POLO,-5.216329574584961,-80.623626708984375,90
AA HH CAMPO POLO,-5.221940040588379,-80.623443603515625,91
AA HH CAMPO VERDE,-13.696054458618164,-76.15971374511719,92
AA HH CARLOS ACHO MEGO,-8.375931739807129,-74.59107208251953,93
AA HH CARLOS ACHO MEGO,-8.374601364135742,-74.5871810913086,94
AA HH CARLOS AUGUSTO SALAVERRY,-4.909935474395752,-80.68743133544922,95
AA HH CARLOS DANIEL LOZANO ESCUDERO,-3.7695488929748535,-73.2597427368164,96
AA HH CARLOS DANIEL LOZANOBESCUDERO,-3.7695488929748535,-73.2597427368164,97
AA HH CASA BLANCA,-8.366415977478027,-74.55638122558594,98
AA HH CASA GRANDE EL BOSQUE,-8.42252254486084,-74.56687927246094,99
AA HH CASA GRANJA EL BOSQUE,-8.42252254486084,-74.56687927246094,100
AA HH CESAR VALLEJO,-4.912388324737549,-80.68456268310547,101
AA HH CESAR VALLEJO,-8.372275352478027,-74.5543212890625,102
AA HH CETICOS,-12.577585220336914,-69.20265197753906,103
AA HH CHICLAYITO,-5.22786283493042,-80.63045501708984,104
AA HH CHICLAYITO,-5.222998142242432,-80.62928771972656,105
AA HH CHICLAYITO,-5.225008487701416,-80.62447357177734,106
AA HH CINCO DE FEBRERO,-5.091557025909424,-81.09577941894531,107
AA HH CINCO DE JUNIO,-12.996610641479492,-70.52703857421875,108
AA HH CIUDAD ROJA DEL PESCADOR,-5.093404293060303,-81.0979232788086,109
AA HH CONSUELO DE VELASCO,-5.1995954513549805,-80.64830780029297,110
AA HH CONSUELO DE VELASCO I ETAPA,-5.101506233215332,-81.10139465332031,111
AA HH CRUCE EL MILAGRO,-7.420011520385742,-79.5473861694336,112
AA HH DIECISIETE DE ENERO,-4.909935474395752,-80.68743133544922,113
AA HH DOS DE AGOSTO,-5.0998663902282715,-81.11271667480469,114
AA HH DOS DE MAYO,-5.103202819824219,-81.11591339111328,115
AA HH DOS DE MAYO,-8.366119384765625,-74.54370880126953,116
AA HH DOS DE MAYO,-12.583070755004883,-69.18909454345703,117
AA HH EDWIN DIAZ,-8.366541862487793,-74.56474304199219,118
AA HH EDWIN DIAZ PAREDES,-8.363226890563965,-74.58846282958984,119
AA HH EL CHILCAL,-4.930920600891113,-79.944732666015625,120
AA HH EL GRAN PAJATEN,-8.375931739807129,-74.59107208251953,121
AA HH EL HUANABANO,-7.212820053100586,-79.491058349609375,122
AA HH EL INDIO,-5.225959777832031,-80.62018585205078,123
AA HH EL MILAGRO,-5.321890830993652,-80.67794036865234,124
AA HH EL MOLINO,-7.212820053100586,-79.491058349609375,125
AA HH EL OBRERO,-4.909935474395752,-80.68743133544922,126
AA HH EL OBRERO,-4.90647554397583,-80.68067932128906,127
AA HH EL OBRERO,-4.907647132873535,-80.68045806884766,128
AA HH EL SALVADOR,-13.397595405578613,-76.144012451171875,129
AA HH EL TRIUNFO,-8.4059906005859375,-74.54106140136719,130
AA HH EL TRIUNFO,-12.587457656860352,-69.16980743408203,131
AA HH ENACE,-12.591814994812012,-69.20008087158203,132
AA HH EX POLVORINES SECTOR 2B,-5.2088751792907715,-80.6564712524414,133
AA HH EXPOLVORINES SECTOR 2B,-5.2088751792907715,-80.6564712524414,134
AA HH FAUSTINO MALDONADO,-8.3785247802734375,-74.5596923828125,135
AA HH FERNANDO LORES TENAZOA,-3.733306646347046,-73.2607192993164,136
AA HH FLOR DE LA LUPUNA,-8.377556800842285,-74.56562042236328,137
AA HH FLORENCIO DE LA SIERRA,-4.630224227905273,-79.714324951171875,138
AA HH FORTALEZA,-8.413875579833984,-74.55455780029297,139
AA HH FRANSISCO RODRIGUEZ CONTRERAS,-4.593708515167236,-77.86653137207031,140
AA HH FRATERNIDAD,-8.398466110229492,-74.566741943359375,141
AA HH FRATERNIDAD,-8.399849891662598,-74.56511688232422,142
AA HH FRAY MARTIN,-12.599112510681152,-69.1809310913086,143
AA HH FROILAN ALAAMA,-4.92445707321167,-80.33647155761719,144
AA HH FROILAN ALAMA,-4.92445707321167,-80.33647155761719,145
AA HH FUJIMORI FUJIMORI,-8.385643005371094,-74.56101989746094,146
AA HH GIANINA VALDEZ SORIA,-8.425088882446289,-74.55810546875,147
AA HH GRUPO RESIDENCIAL  SECTOR E5,-11.837237358093262,-77.16392517089844,148
AA HH HERBAY ALTO,-13.134809494018555,-76.34684753417969,149
AA HH HERMANOS CARCAMO II ETAPA,-5.0881123542785645,-81.10327911376953,150
AA HH HEROES DEL CENEPA,-4.902966022491455,-80.71341705322266,151
AA HH HEROES DEL CENEPA,-8.404352188110352,-74.5393295288086,152
AA HH HORTENCIA PARDO,-8.398466110229492,-74.566741943359375,153
AA HH HORTENCIA PARDO,-8.399849891662598,-74.56511688232422,154
AA HH HUACA BLANCA BAJA,-7.159273147583008,-79.38243865966797,155
AA HH HUAMANI GRANDE,-13.696054458618164,-76.15971374511719,156
AA HH HUANCHAQUITO ALTO,-8.091568946838379,-79.099334716796875,157
AA HH HUERTO FAMILIAR,-12.59644889831543,-69.192047119140625,158
AA HH HUERTO FAMILIAR,-12.593049049377441,-69.18883514404297,159
AA HH HUMANO NUEVO PROGRESO,-11.826714515686035,-77.098419189453125,160
AA HH HUSARES DEL PERU,-8.382671356201172,-74.5705337524414,161
AA HH INDEPENDENCIA,-5.896080493927002,-76.12196350097656,162
AA HH INDEPENDENCIA,-8.380528450012207,-74.55364990234375,163
AA HH ISABELA CATOLICA,-8.413788795471191,-74.58512115478516,164
AA HH IVAN SIKIC,-8.4059906005859375,-74.54106140136719,165
AA HH JACKELYN RIOS,-8.380794525146484,-74.56397247314453,166
AA HH JAIME YOSHIYAMA TANAKA,-8.406641006469727,-74.55423736572266,167
AA HH JAVIER HERAUD PEREZ,-12.604823112487793,-69.195343017578125,168
AA HH JAVIER PÉREZ DE CUÉLLAR,-8.383731842041016,-74.55406188964844,169
AA HH JESSICA INCHAUSTEGUI,-3.774374485015869,-73.274932861328125,170
AA HH JESUS DE NAZARET,-8.406014442443848,-74.585601806640625,171
AA HH JESUS MARIA,-4.90971565246582,-80.67040252685547,172
AA HH JESUS MARÍA,-4.90971565246582,-80.67040252685547,173
AA HH JESUS MARÍA,-8.402369499206543,-74.55126190185547,174
AA HH JESÚS MARIA,-4.90971565246582,-80.67040252685547,175
AA HH JHON HOCKING,-8.363226890563965,-74.58846282958984,176
AA HH JOHNS HOPKINS,-8.361651420593262,-74.59178161621094,177
AA HH JORGE BASADRE,-8.408559799194336,-74.56734466552734,178
AA HH JORGE BASADRE GROHMANN,-8.414389610290527,-74.56785583496094,179
AA HH JORGE CHAVEZ,-4.5955610275268555,-81.24931335449219,180
AA HH JORGE CHAVEZ,-5.267828941345215,-80.6716537475586,181
AA HH JORGE CHAVEZ,-12.584245681762695,-69.20178985595703,182
AA HH JORGE COQUIS HERRERA,-8.380794525146484,-74.56397247314453,183
AA HH JOSE ABELARDO QUIÑONES,-4.596272945404053,-81.25646209716797,184
AA HH JOSE ABELARDO QUIÑONES,-12.601292610168457,-69.21369934082031,185
AA HH JOSÉ ABELARDO QUIÑONES,-4.596272945404053,-81.25646209716797,186
AA HH JOSE ABELARDO QUIÑONES SECTOR DOCE,-4.596272945404053,-81.25646209716797,187
AA HH JOSE ABELARDO QUIÑONEZ,-12.595979690551758,-69.21819305419922,188
AA HH JOSE ALDAMIS,-12.589409828186035,-69.193328857421875,189
AA HH JOSE ALDAMIZ,-12.589409828186035,-69.193328857421875,190
AA HH JOSE CARLOS MARIATEGUI,-13.404122352600098,-76.11951446533203,191
AA HH JOSE CAYETANO HEREDIA,-5.265019416809082,-80.6787109375,192
AA HH JOSÉ CAYETANO HEREDIA,-5.265019416809082,-80.6787109375,193
AA HH JOSE DE SAN MARTIN,-8.389471054077148,-74.58382415771484,194
AA HH JOSE DE SAN MARTÍN,-8.389471054077148,-74.58382415771484,195
AA HH JOSE OLAYA,-5.0945587158203125,-81.10554504394531,196
AA HH JUAN BOSCO I ETAPA,-5.2079243659973145,-80.6442642211914,197
AA HH JUAN CARLOS DEL AGUILA,-3.734555721282959,-73.25695037841797,198
AA HH JUAN NOEL LASTRA,-5.0998663902282715,-81.11271667480469,199
AA HH JUAN PABLO II,-5.221940040588379,-80.623443603515625,200
AA HH JUAN PABLO II,-12.025232315063477,-77.12895965576172,201
AA HH JUAN ROMERO FERREYRO,-8.409929275512695,-74.569488525390625,202
AA HH JUANITA ALCANTARA,-8.383731842041016,-74.55406188964844,203
AA HH KUMAMOTO,-8.06640338897705,-78.99054718017578,204
AA HH LA CANDELARIA,-11.500380516052246,-77.29529571533203,205
AA HH LA DOLOROSA,-5.890176773071289,-76.12677001953125,206
AA HH LA FLORES,-3.76334547996521,-73.27266693115234,207
AA HH LA FLORIDA,-7.342893600463867,-79.51038360595703,208
AA HH LA FLORIDA,-8.406014442443848,-74.585601806640625,209
AA HH LA FLORIDA,-8.413788795471191,-74.58512115478516,210
AA HH LA FLORIDA,-12.59644889831543,-69.192047119140625,211
AA HH LA INMACULADA,-8.406014442443848,-74.585601806640625,212
AA HH LA JUVENTUD,-8.370691299438477,-74.5748062133789,213
AA HH LA LIBERTAD,-12.597286224365234,-69.19633483886719,214
AA HH LA LUPUNA,-8.377556800842285,-74.56562042236328,215
AA HH LA LUPUNA,-8.3785247802734375,-74.5596923828125,216
AA HH LA MOLINA,-12.58829402923584,-69.20525360107422,217
AA HH LA PAZ DE YARINACOCHA,-8.361651420593262,-74.59178161621094,218
AA HH LA PAZ DEL SEÑOR,-8.366541862487793,-74.56474304199219,219
AA HH LA PERLA,-8.366503715515137,-74.58426666259766,220
AA HH LA PRIMAVERA,-5.1883625984191895,-80.60688018798828,221
AA HH LA PRIMAVERA I ETAPA,-5.1883625984191895,-80.60688018798828,222
AA HH LA PRIMAVERA IV ETAPA,-5.1883625984191895,-80.60688018798828,223
AA HH LA SELVA,-12.583659172058105,-69.19145202636719,224
AA HH LA TUNA,-4.593708515167236,-77.86653137207031,225
AA HH LA UNION,-12.599112510681152,-69.1809310913086,226
AA HH LAS AMERICAS,-8.38900375366211,-74.55332946777344,227
AA HH LAS BEGONIAS,-8.372275352478027,-74.5543212890625,228
AA HH LAS COLINAS,-8.369271278381348,-74.551788330078125,229
AA HH LAS DALIAS  I ETAPA,-5.162379741668701,-80.661102294921875,230
AA HH LAS DALIAS I ETAPA,-5.162379741668701,-80.661102294921875,231
AA HH LAS DELICIAS,-8.180764198303223,-79.01318359375,232
AA HH LAS DELICIAS,-8.392403602600098,-74.55228424072266,233
AA HH LAS FLORES,-8.401142120361328,-74.55158233642578,234
AA HH LAS FLORES,-8.402369499206543,-74.55126190185547,235
AA HH LAS LOMAS DE   TORRE BLANCA,-11.843890190124512,-76.99519348144531,236
AA HH LAS LOMAS DE LA JOYA,-12.603965759277344,-69.2142105102539,237
AA HH LAS LOMAS DE LA MOLINA,-8.354145050048828,-74.5779800415039,238
AA HH LAS LOMAS DE TORRE BLANCA ALTA,-11.843890190124512,-76.99519348144531,239
AA HH LAS MELINAS,-8.404202461242676,-74.565155029296875,240
AA HH LAS MERCEDES,-4.565898418426514,-81.2744369506836,241
AA HH LAS MERCEDES,-8.392403602600098,-74.55228424072266,242
AA HH LAS MERCEDES,-8.401142120361328,-74.55158233642578,243
AA HH LAS MERCEDES I ETAPA,-5.189682960510254,-80.59215545654297,244
AA HH LAS PALMAS,-8.389471054077148,-74.58382415771484,245
AA HH LAS PALMERAS,-8.38900375366211,-74.55332946777344,246
AA HH LAS PALMERAS,-12.589409828186035,-69.193328857421875,247
AA HH LAS PALMERAS,-12.589775085449219,-69.191253662109375,248
AA HH LAS PALMERAS,-12.593049049377441,-69.18883514404297,249
AA HH LAS PONCIANAS,-8.389471054077148,-74.58382415771484,250
AA HH LAS PRADERAS DE LA JOYA,-12.603965759277344,-69.2142105102539,251
AA HH LORENZO MEZA BAZALAR,-11.12443733215332,-77.61656188964844,252
AA HH LOS ALGARROBOS,-5.175952434539795,-80.647735595703125,253
AA HH LOS ALGARROBOS I ETAPA,-5.175952434539795,-80.647735595703125,254
AA HH LOS ALGARROBOS III ETAPA,-5.175952434539795,-80.647735595703125,255
AA HH LOS ALMENDROS,-5.189418792724609,-80.59935760498047,256
AA HH LOS ANGELES,-8.413788795471191,-74.58512115478516,257
AA HH LOS ANGELES,-8.385643005371094,-74.56101989746094,258
AA HH LOS ANGELES DE MANANTAY,-8.425088882446289,-74.55810546875,259
AA HH LOS CAMINEROS,-12.58829402923584,-69.20525360107422,260
AA HH LOS CASTAÑOS,-12.604823112487793,-69.195343017578125,261
AA HH LOS CETICOS,-12.580001831054688,-69.20525360107422,262
AA HH LOS CETICOS,-12.577585220336914,-69.20265197753906,263
AA HH LOS FLORES,-8.402369499206543,-74.55126190185547,264
AA HH LOS JARDINES,-3.556593179702759,-80.45530700683594,265
AA HH LOS JARDINES I ETAPA,-5.566734790802002,-80.81244659423828,266
AA HH LOS LAGOS,-3.556593179702759,-80.45530700683594,267
AA HH LOS LAURELES,-8.072105407714844,-79.02898406982422,268
AA HH LOS LAURELES,-8.382040977478027,-74.56768035888672,269
AA HH LOS NARANJALES,-12.577585220336914,-69.20265197753906,270
AA HH LOS PANTANOS DEL CARMEN,-12.594579696655273,-69.205352783203125,271
AA HH LOS PARQUES,-7.189627170562744,-79.51051330566406,272
AA HH LOS PINOS,-5.568739891052246,-80.82087707519531,273
AA HH LOS PINOS DE SAN JUAN,-5.2088751792907715,-80.6564712524414,274
AA HH LOS SORZALES,-11.826714515686035,-77.098419189453125,275
AA HH LOS YINES,-8.363226890563965,-74.58846282958984,276
AA HH LUCAS CUTIVALU I ETAPA,-5.267828941345215,-80.6716537475586,277
AA HH LUCAS CUTIVALU II ETAPA,-5.267828941345215,-80.6716537475586,278
AA HH LUCIANO CASTILLO,-4.586755752563477,-81.267303466796875,279
AA HH LUIS ALBERTO SANCHEZ,-12.601953506469727,-69.180206298828125,280
AA HH LUIS ALBERTO SÁNCHEZ,-5.184665679931641,-80.68165588378906,281
AA HH LUIS ANTONIO PAREDES MACEDA,-5.178157806396484,-80.685638427734375,282
AA HH LUIS MIGUEL SANCHEZ CERRO,-4.904180526733398,-80.69514465332031,283
AA HH LUIS MIGUEL SANCHEZ CERRO,-4.909610271453857,-80.69190216064453,284
AA HH LUIS MIGUEL SÁNCHEZ CERRO,-4.909610271453857,-80.69190216064453,285
AA HH LUUS ALBERTO SANCHEZ,-12.601953506469727,-69.180206298828125,286
AA HH LUZ DIVINA I ETAPA,-8.42252254486084,-74.56687927246094,287
AA HH MADRE D E DIOS  II,-12.579988479614258,-69.1907958984375,288
AA HH MADRE DE DIOS,-12.597286224365234,-69.19633483886719,289
AA HH MADRE DE DIOS,-12.583659172058105,-69.19145202636719,290
AA HH MADRE DE DIOS,-12.579988479614258,-69.1907958984375,291
AA HH MANANTAY,-8.413430213928223,-74.54853057861328,292
AA HH MANANTAY,-8.41711139678955,-74.541717529296875,293
AA HH MANCO INCA,-3.7726266384124756,-73.26495361328125,294
AA HH MANUEL CIPRIANO RAFAEL,-8.069684982299805,-79.015777587890625,295
AA HH MANUEL MALDONADO BEGAZO,-8.406014442443848,-74.585601806640625,296
AA HH MANUEL PACAYA,-4.502882957458496,-73.582763671875,297
AA HH MANUEL SEOANE CORRALES,-5.163782119750977,-80.65275573730469,298
AA HH MARCO JARA,-8.401996612548828,-74.56932830810547,299
AA HH MARCO RUIZ,-12.584245681762695,-69.20178985595703,300
AA HH MARCOS JARA SCHENONE II ETAPA,-5.101506233215332,-81.10139465332031,301
AA HH MARIA CECILIA CARRION DE TORRES,-5.0881123542785645,-81.10327911376953,302
AA HH MARIO PEZO,-8.425088882446289,-74.55810546875,303
AA HH MARISCAL LA MAR,-7.274593830108643,-79.40589141845703,304
AA HH MARTHA CHAVEZ I,-8.369271278381348,-74.551788330078125,305
AA HH MICAELA BASTIDAS,-5.177130699157715,-80.67347717285156,306
AA HH MICAELA BASTIDAS,-15.373624801635742,-75.15666198730469,307
AA HH MICAELA BASTIDAS,-8.38900375366211,-74.55332946777344,308
AA HH MICAELA BASTIDAS,-8.392403602600098,-74.55228424072266,309
AA HH MICAELA BASTIDAS,-8.390214920043945,-74.54876708984375,310
AA HH MICAELA BASTIDAS SECTOR 3,-5.177130699157715,-80.67347717285156,311
AA HH MIGUEL GRAU,-8.07257080078125,-78.996185302734375,312
AA HH MIGUEL GRAU,-13.397595405578613,-76.144012451171875,313
AA HH MIRAFLORES,-5.103202819824219,-81.11591339111328,314
AA HH MIRAFLORES,-8.366541862487793,-74.56474304199219,315
AA HH MIRAFLORES,-8.3785247802734375,-74.5596923828125,316
AA HH MIRAFLORES,-12.591814994812012,-69.20008087158203,317
AA HH MIRNA SORIA DE VALDEZ,-8.404352188110352,-74.5393295288086,318
AA HH MOISES ALBINO TORRES,-12.067422866821289,-77.1283950805664,319
AA HH MOLINO CAJANLEQUE,-7.79271125793457,-79.27351379394531,320
AA HH MONTE CARMELO,-8.375931739807129,-74.59107208251953,321
AA HH MONTE SULLON,-5.277466297149658,-80.67884063720703,322
AA HH MUNICIPAL 2,-11.941676139831543,-77.0690689086914,323
AA HH ÑACARA,-5.097142696380615,-80.159454345703125,324
AA HH NARANJAL,-12.603965759277344,-69.2142105102539,325
AA HH NARANJALES,-12.577585220336914,-69.20265197753906,326
AA HH NUESTEA SEÑORA DE GUADALUPE,-8.413084983825684,-74.54100799560547,327
AA HH NUESTRA SEÑORA DE GUADALUPE,-8.413084983825684,-74.54100799560547,328
AA HH NUEVA ALAMEDA,-13.704560279846191,-76.19945526123047,329
AA HH NUEVA AMAZONIA,-8.405531883239746,-74.58937072753906,330
AA HH NUEVA AMAZONÍA,-8.405531883239746,-74.58937072753906,331
AA HH NUEVA AMÉRICA,-8.413875579833984,-74.55455780029297,332
AA HH NUEVA ERA,-8.35412311553955,-74.5992431640625,333
AA HH NUEVA ESPERANZA,-4.176081657409668,-81.12152099609375,334
AA HH NUEVA ESPERANZA,-12.594579696655273,-69.205352783203125,335
AA HH NUEVA ESPERANZA  SECTOR 6,-5.187589168548584,-80.67362976074219,336
AA HH NUEVA ESPERANZA I ETAPA,-5.554842472076416,-80.81424713134766,337
AA HH NUEVA ESPERANZA III ETAPA,-5.554842472076416,-80.81424713134766,338
AA HH NUEVA ESPERANZA SECTOR 6,-5.187589168548584,-80.67362976074219,339
AA HH NUEVA ESPERANZA SECTOR 8,-5.189748764038086,-80.67643737792969,340
AA HH NUEVA ESPERANZA SECTOR DIEZ,-5.1949872970581055,-80.66475677490234,341
AA HH NUEVA ESPERANZA SECTOR SEIS,-5.1868438720703125,-80.67520904541016,342
AA HH NUEVA UNION,-13.027215957641602,-70.49614715576172,343
AA HH NUEVA ZONA SAN PEDRO,-4.563101291656494,-81.27222442626953,344
AA HH NUEVE DE OCTUBRE,-4.907647132873535,-80.68045806884766,345
AA HH NUEVO ALTO DE LOS MORES,-5.33893346786499,-80.70134735107422,346
AA HH NUEVO AMANECER,-8.374601364135742,-74.5871810913086,347
AA HH NUEVO AMANECER,-12.575182914733887,-69.19261169433594,348
AA HH NUEVO BELLA VISTA,-7.150991439819336,-79.44402313232422,349
AA HH NUEVO BOLOGNESI,-8.404825210571289,-74.58692932128906,350
AA HH NUEVO CASTILLA,-5.1931304931640625,-80.5947036743164,351
AA HH NUEVO CHULLIYACHI,-5.568739891052246,-80.82087707519531,352
AA HH NUEVO CORAZON,-12.996610641479492,-70.52703857421875,353
AA HH NUEVO GUADALUPITO,-8.915815353393555,-78.63776397705078,354
AA HH NUEVO MILENIO,-12.577585220336914,-69.20265197753906,355
AA HH NUEVO PARAISO,-8.375370979309082,-74.5497817993164,356
AA HH NUEVO PARAÍSO,-8.375370979309082,-74.5497817993164,357
AA HH NUEVO PORVENIR,-5.2079243659973145,-80.6442642211914,358
AA HH NUEVO PORVENIR,-8.069684982299805,-79.015777587890625,359
AA HH NUEVO PROGRESO,-11.836074829101563,-77.12801361083984,360
AA HH NUEVO PROGRESO,-11.826714515686035,-77.098419189453125,361
AA HH OCHO DE DICIEMBRE,-5.386622905731201,-80.74079895019531,362
AA HH OCHO DE JULIO,-5.093404293060303,-81.0979232788086,363
AA HH ONCE DE ABRIL,-5.19369649887085,-80.65628814697266,364
AA HH PACAYA SAMIRIA,-3.76334547996521,-73.27266693115234,365
AA HH PACHITEA,-5.187699794769287,-80.629608154296875,366
AA HH PADRE JOSE ALDAMIZ,-12.589409828186035,-69.193328857421875,367
AA HH PAMPA HUASAHUASI,-11.062180519104004,-75.333404541015625,368
AA HH PAREDES  MACEDA SECTOR 9,-5.178157806396484,-80.685638427734375,369
AA HH PEDRO CASTRO ALVA,-6.220799922943115,-77.8692398071289,370
AA HH PEDRO SALDAÑA,-9.307806968688965,-74.43980407714844,371
AA HH PILAR DE NORES,-3.7215752601623535,-73.254150390625,372
AA HH PILAR NORES DE GARCIA,-3.7215752601623535,-73.254150390625,373
AA HH POMARROSA,-8.36454963684082,-74.57319641113281,374
AA HH PRIMAVERA,-12.592538833618164,-69.20005798339844,375
