ind_hhh,Industry
82003,"Atividades de organização de eventos, exceto culturais e esportivos"
82009,Outras atividades de serviços prestados principalmente às empresas
84011,Administração publica e regulação da política econômica e social - Federal
84012,Administração publica e regulação da política econômica e social - Estadual
84013,Administração publica e regulação da política econômica e social - Municipal
84014,Defesa
84015,Outros serviços coletivos prestados pela administração pública - Federal
84016,Outros serviços coletivos prestados pela administração pública - Estadual
84017,Outros serviços coletivos prestados pela administração pública - Municipal
84020,Seguridade social obrigatória
85011,Creche
85012,Pré-escola e ensino fundamental
85013,Ensino médio
85014,Educação superior
85021,Serviços auxiliares à educação
85029,Outras atividades de ensino
86001,Atividades de atendimento hospitalar
86002,Atividades de atenção ambulatorial executadas por médicos e odontólogos
86003,Atividades de serviços de complementação diagnóstica e terapêutica
86004,"Atividades de profissionais da área de saúde, exceto médicos e odontólogos"
86009,Atividades de atenção à saúde humana não especificadas anteriormente
87000,"Atividades de assistência à saude humana integradas com assistencia social, inclusive prestadas em residencias"
88000,Serviços de assistência social sem alojamento
90000,"Atividades artísticas, criativas e de espetáculos"
91000,Atividades ligadas ao patrimônio cultural e ambiental
92000,Atividades de exploração de jogos de azar e apostas
93011,Atividades esportivas
93012,Atividades de condicionamento físico
93020,Atividades de recreação e lazer
94010,"Atividades de organizações associativas patronais, empresariais e profissionais"
94020,Atividades de organizações sindicais
94091,Atividades de organizações religiosas e filosóficas
94099,Outras atividades associativas não especificadas anteriormente 
95010,Reparação e manutenção de equipamentos de informática e comunicação
95030,Reparação e manutenção de objetos e equipamentos pessoais e domésticos
96010,"Lavanderias, tinturarias e toalheiros"
96020,Cabeleireiros e outras atividades de tratamento de beleza
96030,Atividades funerárias e serviços relacionados 
96090,Outras atividades de serviços pessoais
97000,Serviços domésticos
99999,NA
