COD_ENIG 2018,ALIMENTOS Y BEBIDAS ,GTAP10,GTAP10_c,ARTICULO
188,WANTAN SIN PREPARAR,25,ofd,0188
199,OTRAS PASTAS,25,ofd,0199
,"LECHE, QUESO Y HUEVOS",,,
200,LECHE AGRIA,22,mil,0200
201,CREMA DULCE,22,mil,0201
202,DULCE DE LECHE,22,mil,0202
203,LECHE CON CEREALES (ARROZ O MAIZ),22,mil,0203
204,LECHE CONDENSADA,22,mil,0204
205,LECHE CONDENSADA LIGHT,22,mil,0205
206,LECHE DE CABRA (FLUIDA),22,mil,0206
207,LECHE DE SOYA EN POLVO,22,mil,0207
208,LECHE DE SOYA FLUIDA,22,mil,0208
209,LECHE DESCREMADA BLANCA LIQUIDA (0% GRASA),22,mil,0209
210,LECHE DESCREMADA EN POLVO,22,mil,0210
211,LECHE ENTERA FORTIFICADA,22,mil,0211
212,LECHE EVAPORADA,22,mil,0212
213,LECHE EVAPORADA 0% GRASA O LIGHT,22,mil,0213
214,LECHE FRESCA O INTEGRA LIQUIDA,22,mil,0214
215,LECHE INLINE 1% O DELACTOMY INLINE LIQUIDA,22,mil,0215
216,LECHE INTEGRA EN POLVO,22,mil,0216
217,LECHE O CREMA DE COCO,22,mil,0217
218,LECHE SEMIDESCREMADA EN POLVO,22,mil,0218
219,LECHE SEMIDESCREMADA LIQUIDA,22,mil,0219
220,ROMPOPE EN POLVO,22,mil,0220
221,ROMPOPE SIN LICOR,22,mil,0221
222,LECHE DE ALMENDRA FLUIDA,22,mil,0222
229,OTRAS LECHES,22,mil,0229
,SUCEDANEOS LACTEOS O SIMILARES PRODUCTOS ALIMENTICIOS,,,
230,CHANTILLY PREPARADA SABOR CHOCOLATE O FRESA,22,mil,0230
231,CHANTILLY PREPARADA SABOR VAINILLA,22,mil,0231
232,CREMA PARA CHANTILLY EN POLVO,22,mil,0232
233,CREMA PASTELERA PREPARADA,22,mil,0233
234,FORMULA NUTRITIVA,22,mil,0234
235,"LECHE FORMULA MATERNIZADA, EN POLVO",22,mil,0235
236,SUPLEMENTOS LACTEOS PARA BEBES,22,mil,0236
237,SUPLEMENTOS PARA DEPORTISTAS,22,mil,0237
238,SUSTITUTOS DE COMIDAS,22,mil,0238
249,OTROS SUCEDANEOS LACTEOS,22,mil,0249
,HELADOS ,,,
250,APRETADOS,25,ofd,0250
251,BOLIS,25,ofd,0251
252,CONO CON HELADO,25,ofd,0252
253,"ENSALADAS DE FRUTAS CON HELADOS (BANANA SPLIT, PARFAIT DE FRUTAS)",25,ofd,0253
254,GELATINA CON HELADOS,25,ofd,0254
255,GRANIZADOS CON HELADOS O CHURCHIL,25,ofd,0255
256,GRANIZADOS CON UNA O DOS LECHES,25,ofd,0256
257,HELADOS A BASE DE AGUA (PALETA O PALITO),25,ofd,0257
258,"HELADOS A BASE DE LECHE (PALETA, PALITO, CAJITA O GALON)",22,mil,0258
259,HELADOS DE YOGURT O LIGHT,22,mil,0259
260,NIEVES,25,ofd,0260
261,QUEQUE HELADO O HELADO CON GALLETA,25,ofd,0261
262,SUNDAE,25,ofd,0262
269,OTROS POSTRES CON HELADOS,25,ofd,0269
,DERIVADOS LACTEOS,,,
270,"DIPS (DE CEBOLLA, ESPARRAGOS, TOCINETA, CHIPOTLE, VEGETALES, ETC.)",22,mil,0270
271,NATILLA,22,mil,0271
272,NATILLA LIGHT,22,mil,0272
273,YOGURT CON AZUCAR SABOR A FRUTAS,22,mil,0273
274,YOGURT CON TOPPING,22,mil,0274
275,YOGURT DE SOYA,22,mil,0275
276,YOGURT LIGHT,22,mil,0276
277,YOGURT NATURAL,22,mil,0277
289,OTROS DERIVADOS LÁCTEOS,22,mil,0289
,QUESOS,,,
290,CUAJADA,22,mil,0290
291,QUESILLO REQUESON,22,mil,0291
292,QUESO AHUMADO,22,mil,0292
293,QUESO AZUL O FETA,22,mil,0293
294,QUESO CAMEMBERT,22,mil,0294
295,QUESO CHEDDAR,22,mil,0295
296,QUESO COTTAGE,22,mil,0296
297,QUESO CREMA (QUESO PARA UNTAR),22,mil,0297
298,QUESO CREMA LIGHT,22,mil,0298
299,QUESO DE SOYA (TOFU),22,mil,0299
300,"QUESO DURO O SEMIDURO (PARA FREIR, DADOS DE QUESO)",22,mil,0300
301,QUESO ENMENTAL,22,mil,0301
302,QUESO GOUDA,22,mil,0302
303,QUESO MADURO (EDAM),22,mil,0303
304,QUESO MANCHEGO,22,mil,0304
305,QUESO MOZARELLA,22,mil,0305
306,QUESO MUENSTER,22,mil,0306
307,QUESO PALMITO,22,mil,0307
308,QUESO PARA NACHOS (DE UNTAR),22,mil,0308
309,QUESO PARMESANO,22,mil,0309
310,QUESO PIZZERO,22,mil,0310
311,QUESO PROCESADO (AMARILLO),22,mil,0311
312,QUESO PROCESADO AMARILLO LIGHT O MOZARELA LIGHT,22,mil,0312
313,QUESO PROVOLONE,22,mil,0313
314,QUESO RICOTA,22,mil,0314
315,QUESO SECO RAYADO (QUESO MOLIDO),22,mil,0315
316,"QUESO TIERNO, BLANCO (TURRIALBA)",22,mil,0316
317,QUESO DE CABRA,22,mil,0317
329,OTRAS VARIEDADES DE QUESO,22,mil,0329
330,HUEVOS DE CODORNIZ FRESCOS O EN CONSERVA,22,mil,0330
331,HUEVOS DE GALLINA (BLANCOS O ROJOS),22,mil,0331
332,HUEVOS DE TORTUGA,22,mil,0332
339,OTROS HUEVOS FRESCOS O EN CONSERVA,22,mil,0339
,CARNES ,,,
,RES,,,
340,BISTEC O CARNE DE RES PARA ASAR,19,cmt,0340
341,CARNE DE TERNERO,19,cmt,0341
342,CARNE MOLIDA DE RES,19,cmt,0342
343,"CECINA, QUITITEÑA, GALLINITA O PARA DESMECHAR DE RES",19,cmt,0343
344,COLA DE LOMO DE RES,19,cmt,0344
345,COSTILLA DE RES,19,cmt,0345
346,HIGADO DE RES,19,cmt,0346
347,HUEVOS DE TORO,19,cmt,0347
348,"JARRETE, HUESO DE PESCUEZO, OSOBUCO, POSTA CON HUESO",19,cmt,0348
349,LENGUA DE RES,19,cmt,0349
350,LOMITO DE AGUJA DE RES,19,cmt,0350
351,"LOMO DE RES, VUELTA DE LOMO DE RES",19,cmt,0351
352,MANO DE PIEDRA DE RES,19,cmt,0352
353,MILANESA DE RES,19,cmt,0353
354,MONDONGO DE RES,19,cmt,0354
355,POSTA O TROCITOS DE RES,19,cmt,0355
356,SESOS CRUDOS DE RES,19,cmt,0356
357,TORTAS DE RES PARA HAMBURGUESA,19,cmt,0357
358,"VISCERAS DE RES (BOFE, CORAZON, MORCILLA, RIÑONES, ETC.)",19,cmt,0358
369,OTRAS CARNES DE RES,19,cmt,0369
,CERDO,,,
370,"BISTEC, POSTA DE CERDO O TROCITOS DE CERDO",20,omt,0370
371,CHICHARRON DE CERDO (COCIDO),20,omt,0371
372,CHICHARRON DE CONCHA DE CERDO,20,omt,0372
373,CHULETA DE CERDO CORRIENTE,20,omt,0373
374,"CHULETA DE CERDO AHUMADA, CARNE DE CERDO PRENSADA",20,omt,0374
375,COSTILLA DE CERDO,20,omt,0375
376,LECHON Y FALDA DE CERDO,20,omt,0376
377,LOMO O LOMITO DE CERDO,20,omt,0377
378,MOLIDA DE CERDO,20,omt,0378
379,MORCILLA O MORONGA,20,omt,0379
380,PANZADA DE CERDO,20,omt,0380
381,PELLEJO DE CERDO,20,omt,0381
382,"PEZUÑA DE CERDO, RABO, CABEZA Y OREJAS",20,omt,0382
383,PIERNA DE CERDO O CARNE PARA CHICHARRONES,20,omt,0383
384,TOCINO,20,omt,0384
385,"VISCERAS DE CERDO (SESOS, HIGADO, CORAZON, ETC.)",20,omt,0385
389,OTRAS CARNES DE CERDO,20,omt,0389
,POLLO,,,
390,ALAS DE POLLO,20,omt,0390
391,CHICHARRÓN DE POLLO,20,omt,0391
392,"FILETE DE PECHUGA DESHUESADA, FAJITAS DE PECHUGA DE POLLO",20,omt,0392
393,GALLINA ENTERA O GALLO ENTERO,20,omt,0393
394,MENUDOS O VISCERAS DE POLLO,20,omt,0394
395,MOLIDA DE POLLO,20,omt,0395
396,MUSLITO DE ALA DE POLLO,20,omt,0396
397,MUSLITOS O NUGGETS DE POLLO CRUDOS,20,omt,0397
398,MUSLO DE POLLO CON PIEL,20,omt,0398
399,MUSLO DE POLLO DESHUESADO,20,omt,0399
400,MUSLO DE POLLO SIN PIEL,20,omt,0400
401,PECHUGA DE POLLO CON PIEL Y HUESO,20,omt,0401
402,POLLO CON VEGETALES ENLATADO (QUICKIES),20,omt,0402
403,POLLO ENLATADO (QUICKIES),20,omt,0403
404,POLLO ENTERO,20,omt,0404
405,TORTAS DE POLLO,20,omt,0405
406,TROCITOS DE POLLO,20,omt,0406
409,OTRAS CARNES DE POLLO,20,omt,0409
,OTROS TIPOS DE CARNES,,,
410,CARNE DE CONEJO,20,omt,0410
411,CARNE DE SOYA,25,ofd,0411
412,CARNE DE TORTUGA,20,omt,0412
413,CARNE DE PATO,20,omt,0413
414,PAVO ENTERO,20,omt,0414
415,PECHUGA DE PAVO,20,omt,0415
416,PIERNA DE PAVO,20,omt,0416
419,OTRAS CARNES,20,omt,0419
,EMBUTIDOS,,,
420,"CANTONES, PREPARADO PARA ARROZ",20,omt,0420
421,"CARNE PRENSADA DE RES, AHUMADA",19,cmt,0421
422,CHORIZO DE CERDO,20,omt,0422
423,CHORIZO DE SOYA,25,ofd,0423
424,CHORIZO PRECOCIDO,20,omt,0424
425,JAMON DE PAVO,20,omt,0425
426,JAMON DE PAVO LIGHT,20,omt,0426
427,JAMON DE POLLO LIGHT,20,omt,0427
428,JAMON DE POLLO O CONEJO,20,omt,0428
429,JAMON DE RES O CERDO,20,omt,0429
430,JAMON DE SOYA,25,ofd,0430
431,MANO PIEDRA PROCESADA,20,omt,0431
432,MORTADELA BOLOGNA (RES Y CERDO),20,omt,0432
433,MORTADELA DE POLLO,20,omt,0433
434,MORTADELA JAMONADA (RES Y CERDO),20,omt,0434
435,MORTADELA LIHGT,20,omt,0435
436,PATE DE ATUN,20,omt,0436
437,PATE DE CERDO O RES,20,omt,0437
438,PATE DE POLLO,20,omt,0438
439,PATE DE SOYA,25,ofd,0439
440,PEPERONI (RES Y CERDO),20,omt,0440
441,PEPERONI DE SOYA,25,ofd,0441
442,ROAST BEEF,19,cmt,0442
443,SALAMI,20,omt,0443
444,SALCHICHA DE PAVO,20,omt,0444
445,SALCHICHA DE POLLO,20,omt,0445
446,SALCHICHA DE RES O CERDO,20,omt,0446
447,SALCHICHA DE SOYA,25,ofd,0447
448,SALCHICHA RELLENA DE QUESO,20,omt,0448
449,SALCHICHON DE POLLO,20,omt,0449
450,SALCHICHON DE RES O CERDO,20,omt,0450
451,SALCHICHÓN DE SOYA,25,ofd,0451
452,SPAM ENDIABLADO,20,omt,0452
453,TOCINETA,20,omt,0453
454,TOCINETA DE PAVO,20,omt,0454
455,CHORIZO DE POLLO,20,omt,0455
459,OTROS EMBUTIDOS,20,omt,0459
,"PESCADO, ATUN Y MARISCOS",,,
460,ALMEJA FRESCA O BERBERECHOS,25,ofd,0460
461,ALMEJAS ENLATADAS,25,ofd,0461
462,ANCHOAS,25,ofd,0462
463,"ATUN CON VEGETALES (CON MAIZ, CON JALAPEÑOS, ETC.)",25,ofd,0463
464,ATUN EN ACEITE,25,ofd,0464
465,ATUN EN AGUA O LIGHT,25,ofd,0465
466,ATUN TROZO O FILETE,25,ofd,0466
467,BACALAO,25,ofd,0467
468,BONITO FILETE,25,ofd,0468
469,CABEZAS DE PESCADO (RECORTES),25,ofd,0469
470,CALAMARES ENLATADOS,25,ofd,0470
471,CALAMARES FRESCOS,25,ofd,0471
472,CAMARONES EMPANIZADOS CONGELADOS,25,ofd,0472
473,CAMARONES FRESCOS,25,ofd,0473
474,CAMARONES SECOS,25,ofd,0474
475,CAMBUTE,25,ofd,0475
476,CANGREJO,25,ofd,0476
477,CANGREJO ENLATADO,25,ofd,0477
478,CAVIAR NEGRO ENLATADO,25,ofd,0478
479,CHUCHECA,25,ofd,0479
480,CHULETA DE PESCADO,25,ofd,0480
481,CORVINA O CORVINETA FILETE,25,ofd,0481
482,DORADO FILETE,25,ofd,0482
483,"ENSALADAS CON ATUN ENVASADAS (CARACOLITOS, RUSA, ETC.)",25,ofd,0483
484,FILETE DE PESCADO,25,ofd,0484
485,LANGOSTA,25,ofd,0485
486,LANGOSTINOS,25,ofd,0486
487,LENGUADO,25,ofd,0487
488,MACARELA O VELA,25,ofd,0488
489,MARISCADA PARA PAELLA,25,ofd,0489
490,MARLINES,25,ofd,0490
491,MEJILLONES EN ACEITE ENLATADOS,25,ofd,0491
492,MEJILLONES EN ESCABECHE ENLATADOS,25,ofd,0492
493,MEJILLONES FRESCOS,25,ofd,0493
494,OSTRAS ENLATADAS,25,ofd,0494
495,PARGO FILETE,25,ofd,0495
496,PESCADO ENTERO,25,ofd,0496
497,PULPO EN ACEITE ENLATADO,25,ofd,0497
498,PULPO EN SALSA DE TOMATE ENLATADO,25,ofd,0498
499,PULPO FRESCO,25,ofd,0499
500,SALMON ENLATADO,25,ofd,0500
501,SALMON FILETE,25,ofd,0501
502,SARDINAS EN ACEITE ENLATADAS (ARENQUE),25,ofd,0502
503,SARDINAS EN SALSA DE TOMATE O ESCABECHE ENLATADAS,25,ofd,0503
504,SARDINAS FRESCAS,25,ofd,0504
505,SURIME,25,ofd,0505
506,TIBURON FILETE,25,ofd,0506
507,TILAPIA EMPANIZADA CONGELADA,25,ofd,0507
508,TILAPIA ENTERA,25,ofd,0508
509,TILAPIA FILETE,25,ofd,0509
510,"TORTAS CONGELADAS DE PESCADO, DEDOS DE PESCADO EMPANIZADOS",25,ofd,0510
511,TRUCHA ENTERA,25,ofd,0511
512,TRUCHA FILETE,25,ofd,0512
519,OTROS PESCADOS Y MARISCOS,25,ofd,0519
,ACEITES ,,,
520,ACEITE DE AJONJOLI,21,vol,0520
521,ACEITE DE CANOLA,21,vol,0521
522,ACEITE DE GIRASOL,21,vol,0522
523,ACEITE DE MAIZ,21,vol,0523
524,ACEITE DE OLIVA,21,vol,0524
525,ACEITE DE PALMA AFRICANA,21,vol,0525
526,ACEITE DE SOYA,21,vol,0526
527,ACEITE CON HIERBAS,21,vol,0527
528,AJO EN ACEITE,21,vol,0528
529,ACEITES EN AEROSOL,21,vol,0529
530,ACEITE DE COCO,21,vol,0530
539,OTROS ACEITES VEGETALES (TODA CLASE),21,vol,0539
,MARGARINAS Y OTRAS GRASAS,,,
540,LACTOCREMA,22,mil,0540
541,MANTECA DE CERDO,20,omt,0541
542,MANTECA VEGETAL,21,vol,0542
543,MANTEQUILLA,22,mil,0543
544,MANTEQUILLA DE AJO,22,mil,0544
545,MANTEQUILLA DE MANI,21,vol,0545
546,MANTEQUILLA LIVIANA Y SIN SAL,22,mil,0546
547,MARGARINA CON MIEL,21,vol,0547
548,MARGARINA DE ARROZ,21,vol,0548
549,MARGARINA DE SOYA,21,vol,0549
550,MARGARINA DIETETICA O LIGHT,21,vol,0550
551,MARGARINA NORMAL O SUAVE CON SAL,21,vol,0551
552,MAYONESA CORRIENTE,25,ofd,0552
553,MAYONESA DE SOYA,21,vol,0553
554,MAYONESA LIGHT,25,ofd,0554
555,MAYONESA Y SALSA TARTARA,25,ofd,0555
559,OTRAS GRASAS,21,vol,0559
,FRUTAS,,,
560,AGUACATE HASS O CRIOLLO,4,v_f,0560
561,ALBARICOQUE,4,v_f,0561
562,ANONA,4,v_f,0562
563,ARANDANOS,4,v_f,0563
564,BANANOS MADURO,4,v_f,0564
565,BANANOS VERDE,4,v_f,0565
566,CACAO FRUTO,4,v_f,0566
567,CAIMITO,4,v_f,0567
568,CAÑA DE AZUCAR (BOLSA),4,v_f,0568
569,CARAMBOLA,4,v_f,0569
570,CAS,4,v_f,0570
571,CEREZA,4,v_f,0571
572,CIRUELA ROJA O AMARILLA,4,v_f,0572
573,COCO RAYADO,4,v_f,0573
574,COCO TIERNO,4,v_f,0574
575,COCOS SECOS,4,v_f,0575
576,CUADRADO MADURO,4,v_f,0576
577,CUADRADO VERDE,4,v_f,0577
578,DURAZNO,4,v_f,0578
579,FRAMBUESA O FRUTILLA,4,v_f,0579
580,FRESA (CAJA),4,v_f,0580
581,FRUTA DE PAN,4,v_f,0581
582,GRANADILLA,4,v_f,0582
583,GRAPE FRUIT,4,v_f,0583
584,GUABA,4,v_f,0584
585,GUANABANA,4,v_f,0585
586,GUAYABA,4,v_f,0586
587,GUINEO VERDE,4,v_f,0587
588,HIGOS,4,v_f,0588
589,JOCOTE,4,v_f,0589
590,KIWIS,4,v_f,0590
591,LIMON ACIDO CRIOLLO O MESINO,4,v_f,0591
592,LIMON DULCE,4,v_f,0592
593,LIMON MANDARINA,4,v_f,0593
594,MAMON CHINO,4,v_f,0594
595,MAMON CRIOLLO,4,v_f,0595
596,MANDARINA,4,v_f,0596
597,MANGA MADURA,4,v_f,0597
598,MANGA VERDE,4,v_f,0598
599,MANGO MADURO,4,v_f,0599
600,MANGO VERDE,4,v_f,0600
601,MANZANA,4,v_f,0601
602,MANZANA DE AGUA,4,v_f,0602
603,MANZANA ROSA,4,v_f,0603
604,MARACUYA,4,v_f,0604
605,MARAÑON,4,v_f,0605
606,MELOCOTON,4,v_f,0606
607,MELON,4,v_f,0607
608,MORA O ZARZAMORA (BOLSA),4,v_f,0608
609,NANCE (BOLSA),4,v_f,0609
610,NARANJA AGRIA,4,v_f,0610
611,NARANJA DULCE,4,v_f,0611
612,NARANJILLA,4,v_f,0612
613,NECTARINA,4,v_f,0613
614,NISPEROS,4,v_f,0614
615,NONI,4,v_f,0615
616,PAPAYA,4,v_f,0616
617,PEJIBAYE,4,v_f,0617
618,PERA,4,v_f,0618
619,PIÑA,4,v_f,0619
620,PIPA,4,v_f,0620
621,PITAHAYA,4,v_f,0621
622,PLATANO MADURO,4,v_f,0622
623,PLATANO VERDE,4,v_f,0623
624,SANDIA,4,v_f,0624
625,TAMARINDO,4,v_f,0625
626,TORONJA,4,v_f,0626
627,UCHUVA,4,v_f,0627
628,UVA,4,v_f,0628
629,YUPLON,4,v_f,0629
630,ZAPOTE,4,v_f,0630
631,PULPAS O CONCENTRADOS DE FRUTAS,4,v_f,0631
639,OTRAS FRUTAS FRESCAS,4,v_f,0639
,FRUTAS EN CONSERVA,,,
640,CEREZAS EN CONSERVA,4,v_f,0640
